flow,unique,multimod,multimod2,widthave,autocorr,c,nrPacketsMode,nrPackets,Covert-tech,split,label
203.188.183.77-188.46.127.239,4,1,1,0.000843196202342,0.260568006322,2.42857142857143,0.705882352941,17,NO,train,0
7.0.1.13-7.0.1.23,13,3,2,0.0189958042831,0.0178081863479,521.238969581,0.327212935051,3649,BER,train,1
6.0.6.19-6.0.6.29,19,2,2,0.0206060760681,0.0280801486419,493.958811865,0.288316946212,3458,ZAN,train,1
104.46.63.205-202.25.33.122,22,2,1,0.00348909466505,0.0367246754039,7.57142857142857,0.433962264151,53,NO,train,0
54.161.161.6-203.188.179.171,4,4,1,2.87961648815e-05,0.166666666667,0.714285714285714,0.2,5,NO,train,0
133.119.241.131-52.119.79.33,17,17,2,4.79352376752e-05,0.217757875461,2.85714285714286,0.1,20,NO,train,0
163.18.131.232-54.246.33.176,13,13,2,0.000527335404162,0.0828041631409,2.14285714285714,0.133333333333,15,NO,train,0
13.0.5.17-13.0.5.27,30,1,2,0.00460675243472,0.0540675187578,196.769956459,0.61030478955,1378,LUO,train,1
123.83.27.194-163.18.139.83,4,4,1,5.05523822448e-05,0.264713465495,0.714285714285714,0.2,5,NO,train,0
124.239.1.22-150.187.41.1,2,2,2,0.000132457461775,0.5,0.428571428571429,0.333333333333,3,NO,train,0
13.0.2.16-13.0.2.26,82,82,1,0.00553703899031,0.0248399988702,136.124119322,0.131164742917,953,SHA,train,1
104.45.13.108-163.18.146.217,6,6,2,1.18686176487e-05,0.316841632978,1.42857142857143,0.4,10,NO,train,0
39.232.59.9-133.99.114.91,2,2,2,0.000196395673313,0.5,0.428571428571429,0.333333333333,3,NO,train,0
220.125.168.135-150.187.144.147,14,14,1,1.88243228831e-05,0.142551529108,2.14285714285714,0.0666666666667,15,NO,train,0
163.18.239.77-54.249.38.151,3,3,1,0.00100316927359,0.25,0.571428571428571,0.25,4,NO,train,0
163.18.131.185-66.119.62.102,4,4,2,0.00749500070728,0.231724699654,0.714285714285714,0.2,5,NO,train,0
7.0.2.17-7.0.2.27,116,116,1,0.00231704338047,0.0293570278578,126.987305158,0.0888638920135,889,SHA,train,1
202.25.33.122-13.165.179.161,20,20,2,0.000351465675834,0.155674169354,4.14285714285714,0.172413793103,29,NO,train,0
203.188.178.79-123.58.134.163,3,3,2,0.00351774197156,0.5,0.571428571428571,0.25,4,NO,train,0
186.158.211.235-133.136.11.48,2,2,2,0.0110418011885,0.5,0.428571428571429,0.333333333333,3,NO,train,0
173.197.53.60-163.18.189.251,6,6,2,5.7199012102e-06,0.242374914324,1.0,0.142857142857,7,NO,train,0
42.8.2.221-150.187.41.22,16,16,2,1.83991227083e-05,0.228038275063,2.42857142857143,0.0588235294118,17,NO,train,0
115.3.253.32-203.188.178.79,6,6,2,7.3613501537e-06,0.299999954157,1.0,0.142857142857,7,NO,train,0
122.82.226.93-163.18.185.144,2,2,2,0.000136318533191,0.5,0.428571428571429,0.333333333333,3,NO,train,0
13.0.2.19-13.0.2.29,65,6,2,0.00812485346395,0.01466714918,301.540231441,0.218379914732,2111,SHA,train,1
201.51.171.28-202.198.7.194,3,3,2,4.30934679652e-05,0.25,0.571428571428571,0.25,4,NO,train,0
133.119.165.32-107.168.21.185,4,1,2,0.000428548918473,0.25,1.14285714285714,0.5,8,NO,train,0
212.251.208.242-150.187.41.22,9,9,1,0.000159514258219,0.08095826866,1.57142857142857,0.181818181818,11,NO,train,0
203.188.191.73-93.127.185.208,2,2,2,0.000198256779444,0.5,0.428571428571429,0.333333333333,3,NO,train,0
3.0.2.13-3.0.2.23,111,111,1,0.00389573552757,0.0232621967675,221.5576126,0.0967117988395,1551,SHA,train,1
190.23.72.1-203.188.191.5,2,2,2,0.000132369245017,0.5,0.428571428571429,0.333333333333,3,NO,train,0
108.98.105.252-150.187.40.235,4,4,2,5.98544734733e-05,0.292001541181,0.714285714285714,0.2,5,NO,train,0
186.40.121.219-133.136.193.61,5,5,3,1.51520833512e-05,0.130506966793,0.857142857142857,0.166666666667,6,NO,train,0
47.168.34.244-133.99.112.152,2,2,2,0.00013281150778,0.5,0.428571428571429,0.333333333333,3,NO,train,0
174.37.63.197-202.203.227.216,12,12,2,0.000141904492386,0.205021749467,2.28571428571429,0.1875,16,NO,train,0
117.156.47.249-163.18.232.183,2,2,2,0.000129396107678,0.5,0.428571428571429,0.333333333333,3,NO,train,0
133.119.160.198-23.234.101.81,4,4,3,0.00440579577778,0.167994541542,0.714285714285714,0.2,5,NO,train,0
96.79.15.73-133.99.104.191,3,3,2,0.000129346934233,0.25,0.571428571428571,0.25,4,NO,train,0
133.119.39.3-212.175.61.122,3,3,2,4.03681164605e-05,0.5,0.571428571428571,0.25,4,NO,train,0
114.32.249.155-203.188.178.79,6,6,2,4.61353303518e-05,0.197625001608,1.14285714285714,0.25,8,NO,train,0
210.149.87.246-163.18.35.148,3,3,2,2.8582088563e-06,0.25,0.571428571428571,0.25,4,NO,train,0
1.0.5.10-1.0.5.20,24,1,1,0.0204896269222,0.0369450536899,2419.90832349,0.64173553719,16940,LUO,train,1
95.14.137.226-203.188.161.164,2,2,2,0.000125792671768,0.5,0.428571428571429,0.333333333333,3,NO,train,0
163.18.35.169-60.1.28.160,2,2,2,0.00175887098578,0.5,0.428571428571429,0.333333333333,3,NO,train,0
186.49.131.11-133.99.76.234,3,3,2,4.29904084348e-05,0.25,0.571428571428571,0.25,4,NO,train,0
74.96.142.204-163.18.245.4,4,4,2,3.46068706724e-05,0.294887101831,0.714285714285714,0.2,5,NO,train,0
