flow,unique,multimod,multimod2,widthave,autocorr,c,nrPacketsMode,nrPackets,Covert-tech,split,label
218.45.4.44-203.188.185.57,14,14,64,4.95604336831e-19,0.0367938585643,35.0,0.342857142857,35,NO,train,0
76.18.51.17-202.203.227.2,6,6,2,4.78884377152e-05,0.20542048092,1.0,0.142857142857,7,NO,train,0
52.52.147.170-163.18.239.31,15,15,2,2.31925223936e-05,0.192155468616,3.28571428571429,0.347826086957,23,NO,train,0
113.195.92.69-133.99.114.91,4,4,1,9.75037877911e-05,0.304117952831,0.714285714285714,0.2,5,NO,train,0
202.199.11.157-163.18.146.206,13,13,63,5.82269915224e-19,0.210819106252,30.0,0.333333333333,30,NO,train,0
222.190.179.84-133.136.214.72,2,2,2,0.00013272281896,0.5,0.428571428571429,0.333333333333,3,NO,train,0
52.210.110.90-163.18.239.77,13,13,1,0.000168783474702,0.0640552427524,2.85714285714286,0.15,20,NO,train,0
87.235.228.187-203.188.143.71,2,2,2,0.000132325180688,0.5,0.428571428571429,0.333333333333,3,NO,train,0
118.176.141.17-150.187.40.254,2,2,2,9.99760670991e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
163.18.147.89-64.99.248.94,3,3,2,1.39687702264e-05,0.407401268338,0.571428571428571,0.25,4,NO,train,0
203.188.180.7-112.193.247.221,5,5,2,3.18288499082e-05,0.275735470653,0.857142857142857,0.166666666667,6,NO,train,0
219.11.230.131-150.187.97.251,4,4,2,3.46531179849e-05,0.295691608812,0.714285714285714,0.2,5,NO,train,0
12.0.2.10-12.0.2.20,73,73,1,0.00579045348429,0.0172408303141,338.688076158,0.183466891607,2371,SHA,train,1
52.177.153.19-202.25.33.122,5,5,3,0.172343215943,0.148503712003,1.14285714285714,0.25,8,NO,train,0
203.188.178.79-115.2.81.191,2,2,1,-1.0,0.0,0.571428571428571,0.5,4,NO,train,0
163.83.162.179-202.198.39.57,6,6,2,0.00102312336073,0.195994156232,1.14285714285714,0.25,8,NO,train,0
220.79.205.78-203.188.241.71,2,2,2,0.000132325180688,0.5,0.428571428571429,0.333333333333,3,NO,train,0
