flow,unique,multimod,multimod2,widthave,autocorr,c,nrPacketsMode,nrPackets,Covert-tech,split,label
182.190.91.155-150.187.108.95,2,2,2,0.000130543462327,0.5,0.428571428571429,0.333333333333,3,NO,train,0
101.151.79.24-150.187.40.235,5,5,2,7.14034096031e-05,125.0,0.857142857142857,0.166666666667,6,NO,train,0
101.40.68.5-203.188.178.79,152,2,1,0.0155093166985,0.00218040307542,830.285714285714,0.492085340674,5812,NO,train,0
203.188.178.61-192.2.3.250,8,8,2,3.13365051763e-05,0.201781112876,1.71428571428571,0.166666666667,12,NO,train,0
31.25.186.227-133.136.112.47,2,2,2,1.20226489667e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
203.188.178.79-121.216.34.161,2,2,1,-1.0,0.0,0.571428571428571,0.5,4,NO,train,0
14.29.128.196-150.187.41.22,3,3,2,8.65480853497e-05,0.25,0.571428571428571,0.25,4,NO,train,0
203.188.191.3-190.23.72.1,2,2,2,0.000132545796194,0.5,0.428571428571429,0.333333333333,3,NO,train,0
111.237.209.29-133.99.114.58,2,2,2,0.000132237139982,0.5,0.428571428571429,0.333333333333,3,NO,train,0
95.77.14.29-163.18.102.36,3,3,2,6.1009667373e-06,0.25,0.571428571428571,0.25,4,NO,train,0
3.0.6.11-3.0.6.21,19,3,3,0.0201727084675,0.0171201610793,599.092479052,0.352646638054,4194,ZAN,train,1
190.93.93.66-210.131.156.48,2,2,2,0.000131886145583,0.5,0.428571428571429,0.333333333333,3,NO,train,0
73.120.160.142-163.18.44.132,3,3,2,2.16868770263e-05,0.25,0.571428571428571,0.25,4,NO,train,0
203.188.186.189-163.83.240.156,2,2,2,0.0132501614262,0.5,0.428571428571429,0.333333333333,3,NO,train,0
82.133.213.130-133.136.166.235,2,2,2,2.1514426277e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
112.85.132.165-150.187.40.235,8,8,2,1.35271978433e-05,0.254800611588,1.28571428571429,0.111111111111,9,NO,train,0
82.216.33.26-163.18.28.70,4,4,2,7.2534603823e-06,0.487541797737,0.714285714285714,0.2,5,NO,train,0
212.92.239.249-133.99.71.203,10,10,2,1.24170555124e-05,0.148918516173,1.57142857142857,0.0909090909091,11,NO,train,0
104.59.113.99-202.198.15.178,19,19,1,0.000640934830573,0.101186029684,7.28571428571429,0.470588235294,51,NO,train,0
203.188.178.79-115.3.235.171,3,3,2,0.00325823641628,0.5,0.571428571428571,0.25,4,NO,train,0
27.105.254.61-150.187.40.254,2,2,2,0.000132237139982,0.5,0.428571428571429,0.333333333333,3,NO,train,0
54.205.223.204-203.188.178.79,3,1,2,0.397504842786,0.5,1.0,0.571428571429,7,NO,train,0
83.155.88.26-163.18.209.243,2,2,2,1.99410475964e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
182.67.82.147-150.187.203.77,2,2,2,0.00214867482587,0.5,0.428571428571429,0.333333333333,3,NO,train,0
210.153.79.99-163.18.146.28,11,1,1,0.0148109997071,0.0661397606236,4.42857142857143,0.58064516129,31,NO,train,0
95.14.132.217-202.203.226.66,2,2,2,0.000132325180688,0.5,0.428571428571429,0.333333333333,3,NO,train,0
58.246.215.7-150.187.41.1,2,2,2,0.000131233028322,0.5,0.428571428571429,0.333333333333,3,NO,train,0
124.12.118.140-163.18.243.248,3,3,2,1.62723683096e-05,0.416661072496,0.571428571428571,0.25,4,NO,train,0
79.40.47.143-163.18.43.11,2,2,2,2.1151750268e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
203.188.183.77-162.207.26.146,9,1,1,0.00283112298755,0.0664428716734,4.42857142857143,0.677419354839,31,NO,train,0
8.0.1.15-8.0.1.25,23,3,2,0.00852030779185,0.0308077228544,146.381184669,0.331707317073,1025,BER,train,1
59.49.12.208-133.99.114.91,3,3,2,0.000129642018363,0.25,0.571428571428571,0.25,4,NO,train,0
218.52.222.109-133.99.112.152,2,2,2,0.000132149216352,0.5,0.428571428571429,0.333333333333,3,NO,train,0
7.0.2.10-7.0.2.20,24,2,2,0.0190719996595,0.0447949726868,591.240637835,0.315535153419,4139,SHA,train,1
203.188.178.79-120.151.222.146,3,3,2,0.00462214933472,0.5,0.571428571428571,0.25,4,NO,train,0
36.177.73.240-150.187.56.64,2,2,2,0.000132678518954,0.5,0.428571428571429,0.333333333333,3,NO,train,0
85.24.169.58-163.18.99.31,4,4,1,0.000127106256127,0.315003545937,0.714285714285714,0.2,5,NO,train,0
10.0.4.12-10.0.4.22,25,25,2,0.00698141845323,0.0678368182699,169.832632464,0.17157275021,1189,GAS,train,1
163.18.115.131-13.148.4.235,5,5,2,0.00593114859036,0.226383714742,1.0,0.285714285714,7,NO,train,0
203.188.189.203-59.8.178.176,84,1,2,0.0247516595238,0.0313680677308,4585.42857142857,0.81992647517,32098,NO,train,0
80.163.147.113-150.187.41.22,11,11,1,0.000117117194483,0.0772998143639,1.71428571428571,0.0833333333333,12,NO,train,0
199.253.248.22-203.188.183.77,8,1,2,1.32782327411e-05,0.201658307292,2.85714285714286,0.6,20,NO,train,0
151.156.77.87-203.188.191.73,2,2,2,5.6157442753e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
12.0.1.17-12.0.1.27,19,4,2,0.0112145379467,0.107810496807,126.966093524,0.237345331834,889,BER,train,1
91.139.235.96-203.188.187.67,2,2,2,0.000193433013521,0.5,0.428571428571429,0.333333333333,3,NO,train,0
203.188.178.79-112.64.54.225,2,2,1,-1.0,0.0,0.571428571428571,0.5,4,NO,train,0
52.86.155.104-163.18.146.16,36,36,1,0.000124900584042,0.10471405521,8.85714285714286,0.193548387097,62,NO,train,0
121.216.90.146-203.188.178.79,7,7,1,0.000103955224827,0.104068244362,1.28571428571429,0.222222222222,9,NO,train,0
66.109.207.74-203.188.171.84,2,2,1,-1.0,0.0,0.571428571428571,0.5,4,NO,train,0
203.188.191.73-178.235.9.46,2,2,2,0.0209213075151,0.5,0.428571428571429,0.333333333333,3,NO,train,0
114.32.255.115-203.188.178.79,6,6,2,3.21957911915e-05,0.144764983486,1.0,0.142857142857,7,NO,train,0
5.225.75.105-163.18.146.229,47,47,2,5.44560037314e-05,0.0985872593586,7.71428571428571,0.0555555555556,54,NO,train,0
120.151.37.36-203.188.178.79,2,2,2,0.000132501614262,0.5,0.428571428571429,0.333333333333,3,NO,train,0
4.0.4.18-4.0.4.28,45,45,1,0.00634126852109,0.112059318815,181.412598425,0.111811023622,1270,GAS,train,1
183.127.146.57-150.187.5.108,456,456,1,0.00165694684127,0.0292357219066,110.428571428571,0.0168175937904,773,NO,train,0
106.210.163.50-133.99.114.58,6,6,2,5.0433429189e-06,0.274777647894,1.14285714285714,0.25,8,NO,train,0
203.188.178.79-121.216.120.159,3,3,2,0.00361368038896,0.5,0.571428571428571,0.25,4,NO,train,0
11.0.2.18-11.0.2.28,62,62,3,0.00313694734767,0.0164456890149,284.821965898,0.246238716148,1994,SHA,train,1
88.202.28.153-150.187.220.158,2,2,2,1.51992063161e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
4.0.4.16-4.0.4.26,58,58,2,0.00237620997092,0.0342219028872,136.132963574,0.0692549842602,953,GAS,train,1
61.77.99.177-133.99.112.152,4,4,1,9.81108121238e-05,0.296087146902,0.714285714285714,0.2,5,NO,train,0
27.55.46.219-133.99.112.152,4,4,2,0.000103777584538,0.237802532881,0.714285714285714,0.2,5,NO,train,0
208.169.115.205-163.18.28.70,65,65,2,5.05861638528e-05,0.0634379443789,9.57142857142857,0.0298507462687,67,NO,train,0
203.188.178.79-115.2.5.166,3,3,2,0.00336868510836,0.5,0.571428571428571,0.25,4,NO,train,0
133.119.123.89-52.127.125.250,8,8,2,0.000900229030449,0.103139358366,1.71428571428571,0.333333333333,12,NO,train,0
125.127.153.10-150.187.40.235,2,2,2,0.000134656112055,0.5,0.428571428571429,0.333333333333,3,NO,train,0
121.40.165.68-203.188.178.79,6,6,2,4.88940175878e-05,0.14693121313,1.0,0.142857142857,7,NO,train,0
91.206.228.176-163.18.147.97,4,4,2,0.00682664063701,0.261253385443,0.714285714285714,0.2,5,NO,train,0
123.58.207.107-203.188.178.79,3,1,2,0.00101663642656,0.5,0.857142857142857,0.5,6,NO,train,0
35.162.102.135-203.188.191.73,6,1,2,0.00299852761754,0.113908510023,2.71428571428571,0.631578947368,19,NO,train,0
94.176.57.148-163.18.29.238,2,2,2,0.000132149216352,0.5,0.428571428571429,0.333333333333,3,NO,train,0
121.99.217.195-163.18.35.169,3,3,2,6.8377202727e-06,0.25,0.571428571428571,0.25,4,NO,train,0
121.41.76.166-203.188.178.79,7,7,2,5.44978633755e-05,0.136529708606,1.14285714285714,125.0,8,NO,train,0
122.187.205.80-133.136.82.132,3,3,2,6.5556309901e-06,0.403017574209,0.571428571428571,0.25,4,NO,train,0
133.119.39.3-221.159.139.234,4,4,2,3.5951010435e-06,0.25,0.714285714285714,0.2,5,NO,train,0
114.32.120.229-203.188.178.79,3,3,2,0.132501614262,0.5,0.571428571428571,0.25,4,NO,train,0
42.227.88.41-203.188.178.79,7,7,2,5.32260026986e-05,0.136682584701,1.14285714285714,125.0,8,NO,train,0
121.216.74.214-203.188.178.79,5,5,2,7.5678655919e-06,0.218253967328,1.0,0.285714285714,7,NO,train,0
114.32.247.115-203.188.178.79,7,7,2,5.34903245136e-05,0.136658719492,1.14285714285714,125.0,8,NO,train,0
78.178.44.22-202.198.39.173,3,3,2,0.000127120192768,0.5,0.571428571428571,0.25,4,NO,train,0
98.83.128.197-203.188.171.84,2,2,2,3.64616439907e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
181.149.202.230-133.136.52.45,2,2,2,1.10799655142e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
187.75.130.179-150.187.12.130,4,4,1,1.17305451377e-05,0.225906977273,0.714285714285714,0.2,5,NO,train,0
126.144.3.248-203.188.178.79,4,1,2,0.0272954925836,0.25,1.0,0.428571428571,7,NO,train,0
163.18.234.134-50.104.247.187,80,80,2,0.000350241960132,0.0994298130656,21.4285714285714,0.14,150,NO,train,0
121.40.162.61-203.188.178.79,4,4,2,9.66790343877e-05,0.200226974105,0.857142857142857,0.333333333333,6,NO,train,0
94.82.221.51-133.136.44.224,2,2,2,0.000132501614262,0.5,0.428571428571429,0.333333333333,3,NO,train,0
46.60.123.213-133.136.236.126,2,2,2,0.000132678518954,0.5,0.428571428571429,0.333333333333,3,NO,train,0
80.241.232.10-203.188.179.187,3,3,2,1.23000643506e-05,0.25,0.571428571428571,0.25,4,NO,train,0
203.188.191.73-46.251.138.188,5,1,2,0.0012275648077,125.0,3.0,0.714285714286,21,NO,train,0
203.188.178.79-112.67.138.241,3,3,2,0.00339747728877,0.5,0.571428571428571,0.25,4,NO,train,0
114.216.227.43-150.187.18.53,5,5,2,1.54065660771e-05,0.143634052077,0.857142857142857,0.166666666667,6,NO,train,0
116.31.116.89-202.203.230.73,14,14,2,7.5741556325e-06,0.207057822953,2.57142857142857,0.222222222222,18,NO,train,0
3.0.6.14-3.0.6.24,22,3,2,0.0169805733817,0.0381779457044,461.239260275,0.325178073707,3229,ZAN,train,1
163.18.113.119-204.240.218.38,62,62,3,0.000679160602717,0.0909590354486,20.8571428571429,0.315068493151,146,NO,train,0
91.27.57.120-203.188.170.145,3,3,2,0.000149910745946,0.416662023887,0.571428571428571,0.25,4,NO,train,0
59.79.146.216-150.187.145.225,6,6,1,7.6372644886e-06,0.209086384316,1.0,0.142857142857,7,NO,train,0
220.125.92.121-133.136.191.137,3,3,2,5.10494731403e-05,0.25,0.571428571428571,0.25,4,NO,train,0
163.18.214.233-65.52.20.213,9,9,2,0.00263739092037,0.0516180203086,3.0,0.428571428571,21,NO,train,0
60.146.238.202-203.188.191.146,6,6,2,0.00276576143431,0.171356107085,1.0,0.142857142857,7,NO,train,0
120.148.240.246-203.188.178.79,6,6,2,4.62124431912e-05,0.197622844558,1.28571428571429,0.333333333333,9,NO,train,0
213.132.253.39-203.188.178.61,7,7,2,8.3089667682e-06,0.208761268099,1.28571428571429,0.222222222222,9,NO,train,0
183.127.146.57-163.18.17.171,291,291,1,0.000649773001481,0.0479354992446,49.8571428571429,0.00859598853868,349,NO,train,0
1.0.4.13-1.0.4.23,47,47,2,0.00284485781152,0.02396946845,157.417422868,0.0780399274047,1102,GAS,train,1
202.203.227.2-5.89.87.81,5,5,2,0.000110327472469,125.0,0.857142857142857,0.166666666667,6,NO,train,0
123.59.162.222-203.188.178.79,4,4,2,0.00352565743362,0.25,0.714285714285714,0.2,5,NO,train,0
122.164.107.164-163.18.227.88,4,4,1,6.2383048585e-06,0.272460564634,0.714285714285714,0.2,5,NO,train,0
88.226.52.196-163.18.25.46,2,2,2,0.0795009685572,0.5,0.428571428571429,0.333333333333,3,NO,train,0
121.40.43.3-203.188.178.79,5,5,2,7.5602488812e-06,0.218234951997,1.14285714285714,375.0,8,NO,train,0
58.107.103.191-150.187.40.235,4,4,2,5.9593900919e-05,0.293318964861,0.714285714285714,0.2,5,NO,train,0
190.93.93.66-210.131.156.52,2,2,2,0.000132061409563,0.5,0.428571428571429,0.333333333333,3,NO,train,0
58.244.214.161-133.99.112.196,2,2,2,0.0001325900076,0.5,0.428571428571429,0.333333333333,3,NO,train,0
13.0.4.19-13.0.4.29,53,53,2,0.00306207410822,0.0576163057332,196.416311688,0.0858181818182,1375,GAS,train,1
202.203.227.2-178.44.56.235,8,8,2,0.00719921403022,0.0896822546636,1.42857142857143,0.2,10,NO,train,0
87.238.196.107-133.136.171.171,2,2,2,0.000131755002581,0.5,0.428571428571429,0.333333333333,3,NO,train,0
69.243.156.118-203.188.179.187,2,2,2,1.80536307924e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
114.219.140.46-163.18.29.32,3,3,1,5.34021892842e-05,0.294093865176,0.571428571428571,0.25,4,NO,train,0
114.32.229.31-203.188.178.79,6,6,2,4.86483841126e-05,0.197849839934,1.0,0.142857142857,7,NO,train,0
107.10.207.167-163.18.245.60,18,18,1,0.0106198549011,0.0815399142863,4.14285714285714,0.206896551724,29,NO,train,0
125.219.48.129-150.187.74.28,13,13,2,9.5681486698e-06,0.162122898258,2.0,0.0714285714286,14,NO,train,0
212.107.189.115-163.18.145.22,2,2,2,1.65751331326e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
115.3.153.133-203.188.178.79,5,5,2,4.61329591951e-05,0.197622147753,1.14285714285714,0.25,8,NO,train,0
111.207.50.225-203.188.195.170,2,2,2,0.000131406559599,0.5,0.428571428571429,0.333333333333,3,NO,train,0
217.22.139.72-203.188.141.177,2,2,2,0.000132237139982,0.5,0.428571428571429,0.333333333333,3,NO,train,0
121.216.120.10-203.188.178.79,5,5,2,2.91936022113e-05,0.207950816109,0.857142857142857,0.166666666667,6,NO,train,0
220.127.53.207-203.188.162.58,2,2,2,1.6827453721e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
94.239.250.154-133.136.126.40,35,35,1,5.71376828166e-05,0.0940258430452,5.14285714285714,0.0277777777778,36,NO,train,0
190.44.172.163-150.187.40.189,2,2,2,0.000132413338703,0.5,0.428571428571429,0.333333333333,3,NO,train,0
133.119.66.218-119.54.118.184,11,11,2,0.00251268117974,0.325461007688,1.71428571428571,0.0833333333333,12,NO,train,0
121.216.94.167-203.188.178.79,8,8,1,0.000104149264788,0.104049032082,1.28571428571429,0.111111111111,9,NO,train,0
133.119.39.3-34.58.130.176,3,3,1,3.6232476979e-06,0.25,0.571428571428571,0.25,4,NO,train,0
122.187.255.68-150.187.229.54,4,4,2,1.53853434625e-05,0.22657887248,0.714285714285714,0.2,5,NO,train,0
