flow,unique,multimod,multimod2,widthave,autocorr,c,nrPacketsMode,nrPackets,Covert-tech,split,label
87.74.72.10-150.187.40.254,5,5,1,0.000117310724542,0.221368014798,0.857142857142857,0.166666666667,6,NO,train,0
120.161.181.41-163.18.109.230,2,2,2,0.000439717746445,0.5,0.428571428571429,0.333333333333,3,NO,train,0
121.41.48.128-203.188.178.79,7,7,2,5.30124899071e-05,0.136665780929,1.14285714285714,125.0,8,NO,train,0
23.172.144.212-163.18.147.198,7,2,1,0.000106435775425,0.151356283934,1.71428571428571,0.25,12,NO,train,0
209.234.148.211-203.188.183.77,9,1,1,0.0103920921103,0.0555555555556,4.14285714285714,0.620689655172,29,NO,train,0
133.119.39.3-185.171.176.227,4,4,2,0.20822065046,0.166666666667,0.857142857142857,0.333333333333,6,NO,train,0
92.166.110.79-163.18.252.100,2,2,2,0.000132457461775,0.5,0.428571428571429,0.333333333333,3,NO,train,0
137.53.12.208-133.136.96.41,2,2,2,0.000132678518954,0.5,0.428571428571429,0.333333333333,3,NO,train,0
199.236.60.73-202.203.227.216,2,2,2,5.1907135386e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
89.208.32.18-203.188.178.79,10,10,1,0.0115421337736,0.0836503439903,2.71428571428571,0.315789473684,19,NO,train,0
120.148.28.8-203.188.178.79,6,6,2,4.6057306655e-05,0.19761656428,1.14285714285714,0.25,8,NO,train,0
31.13.212.139-202.198.15.178,7,7,1,0.000143516276658,0.0893141006731,2.0,0.428571428571,14,NO,train,0
220.127.208.218-133.136.161.75,3,3,2,7.3542830654e-06,0.415934544222,0.571428571428571,0.25,4,NO,train,0
179.149.83.228-150.187.41.1,8,8,2,1.59950809431e-05,0.261056493696,1.28571428571429,0.111111111111,9,NO,train,0
121.216.34.50-203.188.178.79,6,6,2,4.60626561224e-05,0.19762062972,1.14285714285714,0.25,8,NO,train,0
54.242.194.164-163.18.144.130,9,9,2,0.000112673900771,0.117825970099,1.71428571428571,0.25,12,NO,train,0
88.214.160.238-163.18.153.131,10,10,2,1.08996055947e-05,0.123421188518,1.57142857142857,0.0909090909091,11,NO,train,0
190.117.91.79-150.187.128.24,2,2,2,0.000133256735765,0.5,0.428571428571429,0.333333333333,3,NO,train,0
95.178.192.170-133.136.171.87,2,2,2,0.000131929917951,0.5,0.428571428571429,0.333333333333,3,NO,train,0
163.18.146.8-58.243.213.50,7,7,2,9.5050607391e-06,0.195051658527,1.42857142857143,0.3,10,NO,train,0
85.239.168.67-202.198.14.98,2,2,1,-1.0,0.0,0.571428571428571,0.5,4,NO,train,0
23.238.243.58-163.18.25.46,2,2,2,6.6268478725e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
203.188.178.79-121.216.67.100,2,2,1,-1.0,0.0,0.571428571428571,0.5,4,NO,train,0
133.119.166.141-205.199.194.175,2,2,1,-1.0,0.0,0.428571428571429,0.333333333333,3,NO,train,0
182.9.75.75-150.187.40.254,5,5,1,0.000101209427709,0.258070118213,0.857142857142857,0.166666666667,6,NO,train,0
125.124.145.14-150.187.40.235,2,2,2,0.000131798687926,0.5,0.428571428571429,0.333333333333,3,NO,train,0
98.235.227.241-203.188.183.211,2,2,1,-1.0,0.0,0.428571428571429,0.333333333333,3,NO,train,0
190.23.72.1-203.188.191.244,2,2,2,0.000132325180688,0.5,0.428571428571429,0.333333333333,3,NO,train,0
103.244.42.144-202.25.33.122,48,48,2,0.000139130399293,0.0324145191402,13.5714285714286,0.389473684211,95,NO,train,0
163.18.252.172-91.28.166.49,6,6,2,0.00124155639534,0.1125418168,1.71428571428571,0.416666666667,12,NO,train,0
113.226.200.169-150.187.41.22,2,2,2,0.000131842402251,0.5,0.428571428571429,0.333333333333,3,NO,train,0
202.198.15.178-52.51.117.115,10,10,1,0.00469838084955,0.065888297867,2.14285714285714,0.333333333333,15,NO,train,0
201.131.167.45-203.188.184.64,2,2,2,0.000132105298367,0.5,0.428571428571429,0.333333333333,3,NO,train,0
112.64.56.251-203.188.178.79,6,6,2,3.19943892592e-05,0.141627590927,1.14285714285714,0.25,8,NO,train,0
163.18.136.106-54.203.31.86,9,9,3,0.00328785910843,0.147619046708,1.57142857142857,0.181818181818,11,NO,train,0
192.125.111.117-150.187.225.73,2,2,2,0.000132281145686,0.5,0.428571428571429,0.333333333333,3,NO,train,0
133.119.185.120-162.243.11.139,46,2,2,0.00079951425382,0.0796759207237,131.857142857143,0.440953412784,923,NO,train,0
116.9.126.104-150.187.41.1,4,4,2,5.9596006454e-05,0.293123436359,0.714285714285714,0.2,5,NO,train,0
203.188.178.79-121.41.228.190,3,3,2,0.00602280064827,0.5,0.571428571428571,0.25,4,NO,train,0
41.41.42.227-133.99.75.35,2,2,2,0.000318768919636,0.5,0.428571428571429,0.333333333333,3,NO,train,0
95.11.227.37-133.136.135.136,2,2,2,0.0001325900076,0.5,0.428571428571429,0.333333333333,3,NO,train,0
163.18.175.27-52.44.19.235,5,5,2,0.000464495657106,0.241545964405,0.857142857142857,0.166666666667,6,NO,train,0
213.248.179.109-133.136.8.181,2,2,2,2.1071916263e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
115.3.255.138-203.188.178.79,6,6,2,4.83399431942e-05,0.146359859234,1.0,0.142857142857,7,NO,train,0
59.79.95.220-133.136.183.18,2,2,2,2.464183561e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
203.188.171.84-85.227.43.111,5,1,2,0.0544201312373,0.1,2.57142857142857,0.611111111111,18,NO,train,0
36.6.240.145-203.188.231.108,189,189,1,0.000333815223595,0.0730901030572,31.8571428571429,0.0224215246637,223,NO,train,0
123.58.185.5-203.188.178.79,3,3,2,0.198752421393,0.5,0.714285714285714,0.4,5,NO,train,0
89.24.153.185-203.188.207.49,21,21,1,3.19501006619e-05,0.0894675924235,3.14285714285714,0.0454545454545,22,NO,train,0
171.89.4.180-150.187.41.1,2,2,2,0.000132413338703,0.5,0.428571428571429,0.333333333333,3,NO,train,0
59.79.190.133-133.136.235.114,4,4,1,5.6679806169e-06,0.385644222569,0.714285714285714,0.2,5,NO,train,0
203.188.178.79-182.91.171.148,4,1,2,0.00987003273445,0.415635207151,1.0,0.428571428571,7,NO,train,0
80.196.79.138-203.188.191.73,6,1,2,0.000777870458409,0.120479849675,3.28571428571429,0.695652173913,23,NO,train,0
82.116.7.12-163.18.25.46,3,3,2,7.3875550463e-06,0.41666664987,0.571428571428571,0.25,4,NO,train,0
133.136.41.24-37.183.143.228,4,4,2,1.47622841503e-05,0.166666666667,0.714285714285714,0.2,5,NO,train,0
80.225.1.130-133.99.114.58,11,11,1,0.00013463814768,0.0662482883226,1.85714285714286,0.153846153846,13,NO,train,0
115.2.237.55-203.188.178.79,7,7,2,5.31899799308e-05,0.136661466363,1.14285714285714,125.0,8,NO,train,0
114.218.156.175-133.136.155.21,18,18,2,1.24003294219e-05,0.109728803014,2.71428571428571,0.0526315789474,19,NO,train,0
91.21.173.229-133.99.114.91,4,4,3,9.54699334759e-05,0.167777843741,0.714285714285714,0.2,5,NO,train,0
202.235.239.220-163.18.35.169,50,50,2,3.99206792117e-05,0.1133844221,8.28571428571429,0.0862068965517,58,NO,train,0
97.50.2.226-163.18.183.78,17,17,1,3.58277953869e-05,0.102976210368,2.57142857142857,0.0555555555556,18,NO,train,0
1.165.245.171-133.99.111.62,3,3,2,0.00012939291908,0.25,0.571428571428571,0.25,4,NO,train,0
122.187.205.80-133.136.82.132,3,3,2,6.5556309901e-06,0.403017574209,0.571428571428571,0.25,4,NO,train,0
121.30.255.77-150.187.40.235,4,4,1,3.88130321129e-05,0.233354314569,0.714285714285714,0.2,5,NO,train,0
217.172.57.120-163.18.216.8,9,9,2,0.0013833379558,0.146011563615,1.85714285714286,0.153846153846,13,NO,train,0
121.216.96.235-203.188.178.79,5,5,2,7.7237554483e-06,0.218884903145,0.857142857142857,0.166666666667,6,NO,train,0
183.247.176.139-133.136.152.239,3,3,2,0.000129486044177,0.25,0.571428571428571,0.25,4,NO,train,0
121.40.4.3-203.188.178.79,6,6,2,4.59956893566e-05,0.197615284862,1.14285714285714,0.25,8,NO,train,0
202.203.227.2-176.62.93.16,5,5,2,1.79914732098e-05,0.27229966048,0.857142857142857,0.166666666667,6,NO,train,0
121.40.165.68-203.188.178.79,6,6,2,4.88940175878e-05,0.14693121313,1.0,0.142857142857,7,NO,train,0
85.231.255.139-150.187.40.235,2,2,2,0.000132855896653,0.5,0.428571428571429,0.333333333333,3,NO,train,0
113.130.195.60-133.99.112.152,6,2,66,6.75879114977e-18,0.0488283091453,17.0,0.411764705882,17,NO,train,0
104.14.89.59-163.18.239.31,3,3,2,8.8334409508e-06,0.5,0.571428571428571,0.25,4,NO,train,0
203.188.183.77-13.175.116.169,57,57,1,0.000283202345541,0.080402767588,16.4285714285714,0.452173913043,115,NO,train,0
221.149.80.81-150.187.40.235,2,2,2,0.000272077236678,0.5,0.428571428571429,0.333333333333,3,NO,train,0
163.18.146.235-106.233.166.100,18,18,2,3.05128641713e-05,0.153973288694,3.57142857142857,0.12,25,NO,train,0
218.19.24.255-163.18.185.175,208,208,1,0.000401844369576,0.0498861748335,36.1428571428571,0.0237154150198,253,NO,train,0
69.220.97.115-163.18.230.190,5,5,2,0.000481668535555,0.127436194196,0.857142857142857,0.166666666667,6,NO,train,0
193.252.199.114-203.188.179.171,3,3,2,1.19773969135e-05,0.25,0.571428571428571,0.25,4,NO,train,0
77.161.89.125-150.187.223.255,2,2,2,6.46580635e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
59.78.107.64-163.18.199.75,2,2,2,4.1677659242e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
80.9.5.211-202.203.224.72,2,2,2,0.000132237139982,0.5,0.428571428571429,0.333333333333,3,NO,train,0
52.49.81.132-203.188.178.79,8,8,1,9.5686603408e-05,0.115009420837,1.28571428571429,0.111111111111,9,NO,train,0
84.59.242.89-203.188.189.234,12,12,2,0.0012676543878,0.167616314231,2.28571428571429,0.25,16,NO,train,0
124.157.58.90-150.187.40.254,2,2,2,0.000132369245017,0.5,0.428571428571429,0.333333333333,3,NO,train,0
42.227.76.112-203.188.178.79,4,1,2,3.4945786878e-06,0.25,1.0,0.428571428571,7,NO,train,0
176.8.28.77-133.136.138.39,2,2,2,0.000132325180688,0.5,0.428571428571429,0.333333333333,3,NO,train,0
6.0.6.10-6.0.6.20,19,4,4,0.0157081551494,0.0242512542784,1246.92907422,0.212777332264,3741,ZAN,train,1
203.188.171.84-14.178.139.64,3,3,1,0.00790024618675,0.1,1.85714285714286,0.461538461538,13,NO,train,0
123.59.149.178-203.188.178.79,6,6,2,3.209221398e-05,0.144771649471,1.14285714285714,0.25,8,NO,train,0
203.188.178.61-74.137.71.197,33,33,1,0.0036705619799,0.0117617604381,7.0,0.102040816327,49,NO,train,0
201.51.171.28-202.198.7.154,3,3,2,4.30503835473e-05,0.25,0.571428571428571,0.25,4,NO,train,0
88.203.233.207-202.198.21.231,6,6,1,1.01816402584e-05,0.338514558343,1.0,0.142857142857,7,NO,train,0
52.177.153.19-202.25.33.122,5,5,3,0.172343215943,0.148503712003,1.14285714285714,0.25,8,NO,train,0
163.18.189.247-111.61.61.25,2,2,2,2.2093912869e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
60.121.114.20-163.18.171.109,2,2,2,0.00969524006795,0.5,0.428571428571429,0.333333333333,3,NO,train,0
119.121.214.239-133.99.114.91,9,9,1,0.000120226522467,0.0775073881735,1.57142857142857,0.181818181818,11,NO,train,0
201.51.171.28-202.198.7.97,3,3,2,4.31667663904e-05,0.25,0.571428571428571,0.25,4,NO,train,0
110.185.245.57-133.99.114.91,5,5,2,9.86799822403e-05,0.200030266822,0.857142857142857,0.166666666667,6,NO,train,0
104.59.113.92-163.18.114.65,2,1,1,-1.0,0.0,0.857142857142857,0.666666666667,6,NO,train,0
157.178.164.180-150.187.41.22,2,2,2,0.000131537009526,0.5,0.428571428571429,0.333333333333,3,NO,train,0
113.247.97.171-150.187.41.1,2,2,2,0.000132545796194,0.5,0.428571428571429,0.333333333333,3,NO,train,0
120.146.78.246-163.18.146.56,7,1,2,2.34123551692e-05,0.139849627237,2.71428571428571,0.578947368421,19,NO,train,0
186.49.131.11-133.99.76.62,2,2,2,0.000132413338703,0.5,0.428571428571429,0.333333333333,3,NO,train,0
85.1.198.99-133.136.189.214,2,2,2,1.7703863305e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
61.159.124.223-150.187.40.254,7,7,1,8.5458060529e-06,0.193798574524,1.14285714285714,125.0,8,NO,train,0
138.134.1.64-202.203.227.2,2,2,2,2.83304712983e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
88.203.100.175-133.136.10.240,2,2,2,1.49034509143e-05,0.5,0.428571428571429,0.333333333333,3,NO,train,0
163.18.231.208-91.28.166.49,5,1,2,5.00915460283e-05,0.166666666667,1.57142857142857,0.545454545455,11,NO,train,0
203.188.179.187-50.105.99.217,5,5,2,1.35007482183e-05,0.154267525299,0.857142857142857,0.166666666667,6,NO,train,0
86.82.29.179-133.136.175.164,10,10,1,4.5010954224e-05,0.136450133594,1.57142857142857,0.0909090909091,11,NO,train,0
163.18.149.83-107.10.205.151,9,9,1,0.000144907274272,0.181897004589,1.42857142857143,0.1,10,NO,train,0
190.93.93.66-210.131.156.40,2,2,2,0.000132061409563,0.5,0.428571428571429,0.333333333333,3,NO,train,0
218.99.243.188-150.187.231.38,7,7,1,6.8049111701e-06,0.126306583207,1.14285714285714,125.0,8,NO,train,0
54.4.215.182-163.18.80.179,2,2,2,0.22170449448,0.25,0.571428571428571,0.5,4,NO,train,0
203.188.185.108-17.166.63.225,11,11,1,0.00250031044898,0.0585423475196,2.85714285714286,0.4,20,NO,train,0
203.188.179.167-52.70.6.85,2,2,2,0.00179056235489,0.5,0.428571428571429,0.333333333333,3,NO,train,0
118.88.95.133-163.18.72.154,3,3,2,3.23096858488e-05,0.25,0.571428571428571,0.25,4,NO,train,0
123.154.109.88-133.99.114.58,10,10,2,3.01610514688e-05,0.116822120118,1.57142857142857,0.0909090909091,11,NO,train,0
211.77.170.107-203.188.187.94,2,2,1,0.115635592134,,0.714285714285714,0.4,5,NO,train,0
220.231.157.33-163.18.19.165,7,7,2,0.0106330026019,0.094142930199,1.28571428571429,0.222222222222,9,NO,train,0
177.154.92.160-150.187.40.235,5,5,1,0.000116916761131,0.37900265395,0.857142857142857,0.166666666667,6,NO,train,0
87.66.230.189-150.187.109.31,2,2,2,0.000132193163547,0.5,0.428571428571429,0.333333333333,3,NO,train,0
119.88.19.98-150.187.41.1,4,4,1,9.84766713585e-05,0.297400393858,0.714285714285714,0.2,5,NO,train,0
82.144.190.54-133.136.177.72,2,2,2,3.4224583092e-06,0.5,0.428571428571429,0.333333333333,3,NO,train,0
118.88.95.133-150.187.18.220,6,6,1,1.20861248468e-05,0.171042506035,1.0,0.142857142857,7,NO,train,0
185.161.233.62-192.69.228.1,9,2,1,0.049149887347,0.0501957589956,34.0,0.483193277311,238,NO,train,0
203.188.178.79-120.151.35.64,3,3,2,0.00405617186516,0.5,0.571428571428571,0.25,4,NO,train,0
